Country,,Country1,
Afghanistan,,Afghanistan,
Albania,,Albania,
Algeria,,Algeria,
American Samoa,,American Samoa,
Andorra,,Andorra,
Angola,,Angola,
'Anguilla,,Anguilla,
'Antigua and Barbuda,,Antigua and Barbuda,
'Argentina,,Argentina,
'Armenia,,Armenia,
'Aruba,,Aruba,
'Australia,,Australia,
'Austria,,Austria,
'Azerbaijan,,Azerbaijan,
'Bahamas,,Bahamas,
'Bahrain,,Bahrain,
'Bangladesh,,Bangladesh,
'Barbados,,Barbados,
'Belarus,,Belarus,
'Belgium,,Belgium,
'Belize,,Belize,
'Benin,,Benin,
'Bermuda,,Bermuda,
Bhutan,,Bhutan,
"Bolivia, Plurinational State of",,"Bolivia, Plurinational State of",
"Bonaire, Sint Eustatius and Saba",,"Bonaire, Sint Eustatius and Saba",
Bosnia and Herzegovina,,Bosnia and Herzegovina,
Botswana,,Botswana,
Bouvet Island,,Bouvet Island,
Brazil,,Brazil,
British Indian Ocean Territory,,British Indian Ocean Territory,
British Virgin Islands,,British Virgin Islands,
Brunei Darussalam,,Brunei Darussalam,
Bulgaria,,Bulgaria,
Burkina Faso,,Burkina Faso,
Burundi,,Burundi,
Cambodia,,Cambodia,
Cameroon,,Cameroon,
Canada,,Canada,
Cayman Islands,,Cayman Islands,
Central African Republic,,Central African Republic,
Chad,,Chad,
Chile,,Chile,
China,,China,
Christmas Island,,Christmas Island,
Cocos (Keeling) Islands,,Cocos (Keeling) Islands,
Colombia,,Colombia,
Comoros,,Comoros,
Congo,,Congo,
"Congo, Democratic Republic of the",,"Congo, Democratic Republic of the",
Cook Islands,,Cook Islands,
Costa Rica,,Costa Rica,
Croatia,,Croatia,
Cuba,,Cuba,
Curaçao,,Curaçao,
Cyprus,,Cyprus,
Czech Republic,,Czech Republic,
Denmark,,Denmark,
Djibouti,,Djibouti,
Dominica,,Dominica,
'Dominican Republic,,Dominican Republic,
Ecuador,,Ecuador,
Egypt,,Egypt,
El Salvador,,El Salvador,
Equatorial Guinea,,Equatorial Guinea,
Eritrea,,Eritrea,
Estonia,,Estonia,
Eswatini,,Eswatini,
Ethiopia,,Ethiopia,
Falkland Islands (Malvinas),,Falkland Islands (Malvinas),
Faroe Islands,,Faroe Islands,
Fiji,,Fiji,
Finland,,Finland,
France,,France,
French Polynesia,,French Polynesia,
Gabon,,Gabon,
Gambia,,Gambia,
Georgia,,Georgia,
Germany,,Germany,
Ghana,,Ghana,
Gibraltar,,Gibraltar,
Greece,,Greece,
Greenland,,Greenland,
Grenada,,Grenada,
Guam,,Guam,
Guatemala,,Guatemala,
Guinea,,Guinea,
'Guinea-Bissau,,Guinea-Bissau,
Guyana,,Guyana,
Haiti,,Haiti,
Honduras,,Honduras,
"Hong Kong, China",,"Hong Kong, China",
Hungary,,Hungary,
Iceland,,Iceland,
India,,India,
Indonesia,,Indonesia,
"Iran, Islamic Republic of",,"Iran, Islamic Republic of",
Iraq,,Iraq,
Ireland,,Ireland,
Israel,,Israel,
Italy,,Italy,
Jamaica,,Jamaica,
Japan,,Japan,
Jordan,,Jordan,
Kazakhstan,,Kazakhstan,
Kenya,,Kenya,
Kiribati,,Kiribati,
Kuwait,,Kuwait,
Kyrgyzstan,,Kyrgyzstan,
Lao People's Democratic Republic,,Lao People,s Democratic Republic
Latvia,,Latvia,
Lebanon,,Lebanon,
Lesotho,,Lesotho,
Liberia,,Liberia,
"Libya, State of",,"Libya, State of",
Lithuania,,Lithuania,
Luxembourg,,Luxembourg,
"Macao, China",,"Macao, China",
Madagascar,,Madagascar,
Malawi,,Malawi,
Malaysia,,Malaysia,
Maldives,,Maldives,
Mali,,Mali,
Malta,,Malta,
Marshall Islands,,Marshall Islands,
Mauritania,,Mauritania,
Mauritius,,Mauritius,
Mayotte,,Mayotte,
Mexico,,Mexico,
"Micronesia, Federated States of",,"Micronesia, Federated States of",
"Moldova, Republic of",,"Moldova, Republic of",
Mongolia,,Mongolia,
Montenegro,,Montenegro,
Montserrat,,Montserrat,
Morocco,,Morocco,
Mozambique,,Mozambique,
Myanmar,,Myanmar,
Namibia,,Namibia,
Nauru,,Nauru,
Nepal,,Nepal,
Netherlands,,Netherlands,
Netherlands Antilles,,Netherlands Antilles,
New Caledonia,,New Caledonia,
New Zealand,,New Zealand,
Nicaragua,,Nicaragua,
Niger,,Niger,
'Nigeria,,Nigeria,
Niue,,Niue,
Norfolk Island,,Norfolk Island,
"Korea, Democratic People's Republic of",,"Korea, Democratic People",s Republic of
"Korea, Republic of",,"Korea, Republic of",
"Macedonia, North",,"Macedonia, North",
Northern Mariana Islands,,Northern Mariana Islands,
Norway,,Norway,
Oman,,Oman,
Pakistan,,Pakistan,
Palau,,Palau,
"Palestine, State of",,"Palestine, State of",
Panama,,Panama,
Papua New Guinea,,Papua New Guinea,
Paraguay,,Paraguay,
Peru,,Peru,
Philippines,,Philippines,
Pitcairn,,Pitcairn,
Poland,,Poland,
Portugal,,Portugal,
Qatar,,Qatar,
Romania,,Romania,
Russian Federation,,Russian Federation,
Rwanda,,Rwanda,
Saint Helena,,Saint Helena,
Saint Kitts and Nevis,,Saint Kitts and Nevis,
Saint Lucia,,Saint Lucia,
Saint Pierre and Miquelon,,Saint Pierre and Miquelon,
Saint Vincent and the Grenadines,,Saint Vincent and the Grenadines,
Samoa,,Samoa,
São Tomé and Príncipe,,São Tomé and Príncipe,
Saudi Arabia,,Saudi Arabia,
Senegal,,Senegal,
Serbia and Montenegro,,Serbia and Montenegro,
Seychelles,,Seychelles,
Sierra Leone,,Sierra Leone,
Singapore,,Singapore,
Sint Maarten (Dutch part),,Sint Maarten (Dutch part),
Slovakia,,Slovakia,
Slovenia,,Slovenia,
Solomon Islands,,Solomon Islands,
Somalia,,Somalia,
South Africa,,South Africa,
South Sudan,,South Sudan,
Spain,,Spain,
Sri Lanka,,Sri Lanka,
Sudan,,Sudan,
Sudan (before 2012),,Sudan (before 2012),
Suriname,,Suriname,
Sweden,,Sweden,
Switzerland,,Switzerland,
Syrian Arab Republic,,Syrian Arab Republic,
"Taipei, Chinese",,"Taipei, Chinese",
Tajikistan,,Tajikistan,
"Tanzania, United Republic of",,"Tanzania, United Republic of",
Thailand,,Thailand,
Togo,,Togo,
Tokelau,,Tokelau,
Tonga,,Tonga,
Trinidad and Tobago,,Trinidad and Tobago,
Tunisia,,Tunisia,
Türkiye,,Türkiye,
Turkmenistan,,Turkmenistan,
Turks and Caicos Islands,,Turks and Caicos Islands,
Tuvalu,,Tuvalu,
Uganda,,Uganda,
Ukraine,,Ukraine,
United Arab Emirates,,United Arab Emirates,
United Kingdom,,United Kingdom,
United States Minor Outlying Islands,,United States Minor Outlying Islands,
United States of America,,United States of America,
Uruguay,,Uruguay,
Uzbekistan,,Uzbekistan,
Vanuatu,,Vanuatu,
"Venezuela, Bolivarian Republic of",,"Venezuela, Bolivarian Republic of",
Viet Nam,,Viet Nam,
Wallis and Futuna Islands,,Wallis and Futuna Islands,
Western Sahara,,Western Sahara,
Yemen,,Yemen,
Zambia,,Zambia,
Zimbabwe,,Zimbabwe,
